toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_teff,st_rad
1266.02,CP,18.8016111,1.9093524,1686.7881033,1.9112282,3618.0,0.435666
1267.01,KP,6.7900981,6.0786576,2158.1733568,9.7548481,6378.0,2.00068
1268.01,CP,8.157721,3.788,10273.0,9.31888,5091.2,0.9
1269.01,CP,4.2529641,2.5733867,758.584999,2.3483383,5591.0,0.848906
1269.02,PC,9.2378703,2.535,660.0,2.22995,5591.0,0.85
127.01,CP,3.7955178,2.0198135,52278.9940979,10.3261619,3424.0,0.445372
1270.01,FP,14.3034613,3.135,48840.0,18.4949,5056.6,0.83
1271.01,KP,6.1349783,5.661,3860.0,13.1383,5828.7,2.05
1272.01,CP,3.3159772,1.494,2770.0,4.5947,4972.7,0.81
1273.01,CP,4.6313014,1.435,4860.0,9.34848,5736.0,1.07
1274.01,PC,19.3203478,4.215,13910.0,9.38964,4968.1,0.8
1275.01,FA,11.3246821,5.9704136,1937.5829721,4.2917226,5518.0,0.824734
1276.01,FA,6.261169,2.0369188,4005.022808,1.3468319,3145.0,0.211257
1277.01,FA,,4.6,1405.9675071,3.2287724,5544.0,0.857648
134.01,CP,1.4015183,1.1583061,593.7540922,1.4616853,3794.0,0.597007
1340.01,FP,8.5874668,5.1458902,1904.8131484,5.3744721,5929.0,0.987583
1341.01,FP,6.4474918,2.643,9270.0,48.9878,6477.6,1.69
1342.01,FP,1.4136455,1.448,2427.0,,5869.0,
1343.01,FP,3.4040139,4.837,935.0,5.34279,9622.0,1.65
1344.01,FP,13.7432169,2.73,5046.0,25.7481,5941.5,1.4
1345.01,PC,8.47134,6.989,540.0,16.9325,5146.0,4.88
1346.01,CP,5.5025577,3.1711008,844.7022676,2.7049797,4965.0,0.784109
1346.02,CP,1.7622537,0.8779711,733.5550822,2.5235818,4965.0,0.784109
1347.01,CP,0.8474218,0.8758764,424.3932848,1.7536544,5300.0,0.846387
